TAXID	NAME	COUNT_ORTHOLOGS
taxid:283035	Sander lucioperca	9543
taxid:184440	Centropristis striata	9540
taxid:119488	Siniperca chuatsi	9536
taxid:109905	Chelmon rostratus	9535
taxid:41447	Seriola dumerili	9528
taxid:215358	Larimichthys crocea	9523
taxid:8167	Perca flavescens	9505
taxid:310571	Epinephelus lanceolatus	9500
taxid:300413	Epinephelus moara	9493
taxid:64144	Anabas testudineus	9492
taxid:205130	Mastacembelus armatus	9490
taxid:195615	Hippoglossus stenolepis	9483
taxid:1250792	Melanotaenia boesemani	9473
taxid:52904	Scophthalmus maximus	9470
taxid:57397	Apaloderma vittatum	9464
taxid:8128	Oreochromis niloticus	9460
taxid:57412	Colius striatus	9459
taxid:72105	Sebastes umbrosus	9452
taxid:8168	Perca fluviatilis	9450
taxid:90069	Solea solea	9444
taxid:7950	Clupea harengus	9443
taxid:47969	Oreochromis aureus	9435
taxid:1841481	Seriola lalandi dorsalis	9432
taxid:8083	Xiphophorus maculatus	9429
taxid:173247	Echeneis naucrates	9426
taxid:158456	Betta splendens	9425
taxid:134920	Pungitius pungitius	9424
taxid:80972	Amphiprion ocellaris	9424
taxid:8267	Hippoglossus hippoglossus	9421
taxid:32473	Xiphophorus couchianus	9419
taxid:57421	Merops nubicus	9418
taxid:27687	Erpetoichthys calabaricus	9413
taxid:229290	Anoplopoma fimbria	9398
taxid:8175	Sparus aurata	9392
taxid:13676	Scomber japonicus	9386
taxid:37003	Kryptolebias marmoratus	9374
taxid:8154	Astatotilapia calliptera	9369
taxid:241271	Cheilinus undulatus	9369
taxid:8262	Pleuronectes platessa	9365
taxid:80966	Acanthochromis polyacanthus	9349
taxid:63155	Archocentrus centrarchus	9340
taxid:48193	Mugil cephalus	9336
taxid:33528	Gambusia affinis	9334
taxid:9209	Phalacrocorax carbo	9331
taxid:210632	Parambassis ranga	9330
taxid:106582	Maylandia zebra	9327
taxid:299321	Denticeps clupeoides	9323
taxid:43689	Simochromis diagramma	9317
taxid:147949	Micropterus dolomieu	9315
taxid:8187	Lates calcarifer	9313
taxid:54383	Eurypyga helias	9310
taxid:8084	Xiphophorus hellerii	9305
taxid:303518	Pundamilia nyererei	9295
taxid:8103	Cyclopterus lumpus	9288
taxid:43700	Monopterus albus	9278
taxid:278164	Alosa alosa	9277
taxid:8081	Poecilia reticulata	9273
taxid:279965	Antrostomus carolinensis	9251
taxid:77115	Cyprinodon tularosa	9245
taxid:7918	Lepisosteus oculatus	9236
taxid:30732	Oryzias melastigma	9233
taxid:8153	Haplochromis burtoni	9229
taxid:40690	Trematomus bernacchii	9226
taxid:2546036	Lampris incognitus	9207
taxid:32507	Neolamprologus brichardi	9188
taxid:417921	Etheostoma cragini	9182
taxid:8090	Oryzias latipes	9176
taxid:409849	Periophthalmus magnuspinnatus	9175
taxid:69293	Gasterosteus aculeatus	9170
taxid:28829	Solea senegalensis	9151
taxid:375764	Sphaeramia orbicularis	9131
taxid:161453	Dunckerocampus dactyliophorus	9130
taxid:27706	Micropterus salmoides	9127
taxid:8049	Gadus morhua	9119
taxid:55291	Polypterus senegalus	9112
taxid:144197	Stegastes partitus	9112
taxid:433684	Takifugu flavidus	9105
taxid:244447	Cynoglossus semilaevis	9104
taxid:1203425	Notolabrus celidotus	9084
taxid:56723	Labrus bergylta	9061
taxid:34816	Morone saxatilis	9046
taxid:7936	Anguilla anguilla	9025
taxid:433405	Anarrhichthys ocellatus	9016
taxid:8078	Fundulus heteroclitus	9015
taxid:113540	Scleropages formosus	9013
taxid:2059687	Pseudoliparis swirei	8999
taxid:208333	Girardinichthys multiradiatus	8989
taxid:28743	Cyprinodon variegatus	8987
taxid:150288	Boleophthalmus pectinirostris	8982
taxid:270530	Synchiropus splendidus	8965
taxid:161450	Doryrhamphus excisus	8962
taxid:118141	Megalops cyprinoides	8958
taxid:161590	Syngnathus scovelli	8958
taxid:1676925	Paramormyrops kingsleyae	8952
taxid:8255	Paralichthys olivaceus	8938
taxid:161584	Syngnathus acus	8933
taxid:441366	Gouania willdenowi	8933
taxid:451745	Nematolebias whitei	8906
taxid:390379	Thalassophryne amazonica	8905
taxid:105023	Nothobranchius furzeri	8901
taxid:137520	Hypomesus transpacificus	8895
taxid:31033	Takifugu rubripes	8886
taxid:42636	Brienomyrus brachyistius	8882
taxid:109280	Hippocampus comes	8881
taxid:56716	Cottoperca gobio	8880
taxid:109293	Hippocampus zosterae	8878
taxid:181472	Salarias fasciatus	8868
taxid:160734	Plectropomus leopardus	8851
taxid:161448	Corythoichthys intestinalis	8835
taxid:48698	Poecilia formosa	8825
taxid:48701	Poecilia mexicana	8796
taxid:52670	Austrofundulus limnaeus	8785
taxid:48699	Poecilia latipinna	8783
taxid:52239	Pseudochaenichthys georgianus	8779
taxid:54343	Etheostoma spectabile	8764
taxid:80720	Gadus macrocephalus	8725
taxid:8218	Gymnodraco acuticeps	8678
taxid:188132	Poeciliopsis prolifica	8633
taxid:13397	Carcharodon carcharias	8513
taxid:1042646	Gadus chalcogrammus	8480
taxid:7897	Latimeria chalumnae	8431
taxid:3053191	Stegostoma tigrinum	8325
taxid:79690	Hypanus sabinus	8312
